#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,03:35:57,03:45:15,03:45:48,0,5,1,09:18.00,00:33.00
2,03:36:37,03:46:25,03:48:13,0,15,0,09:48.00,01:48.00
3,03:37:59,03:48:28,03:49:21,0,14,1,10:29.00,00:53.00
4,03:38:44,03:50:55,03:51:55,0,5,0,12:11.00,01:00.00
5,03:39:35,03:49:39,03:50:51,0,11,0,10:04.00,01:12.00
6,03:40:34,0,0,03:42:30,0,0,01:56.00,0
7,03:42:43,03:51:55,03:52:18,0,5,0,09:12.00,00:23.00
8,03:44:15,03:45:59,03:46:36,0,1,0,01:44.00,00:37.00
9,03:44:36,03:52:40,03:53:45,0,21,1,08:04.00,01:05.00
10,03:46:45,03:54:13,03:55:04,0,11,1,07:28.00,00:51.00
11,03:47:10,03:55:26,03:55:38,0,5,1,08:16.00,00:12.00
12,03:48:07,03:55:50,03:56:15,0,2,1,07:43.00,00:25.00
13,03:48:30,03:56:53,03:57:10,0,4,0,08:23.00,00:17.00
14,03:49:21,03:57:13,03:58:01,0,4,0,07:52.00,00:48.00
15,03:49:57,03:58:10,03:58:26,0,5,0,08:13.00,00:16.00
16,03:52:31,03:58:43,03:59:07,0,7,1,06:12.00,00:24.00
17,03:53:35,03:59:14,03:59:40,0,4,0,05:39.00,00:26.00
18,03:54:25,03:59:59,04:01:24,0,11,1,05:34.00,01:25.00
19,03:54:40,04:01:46,04:02:20,0,3,0,07:06.00,00:34.00
20,03:56:31,03:57:05,03:57:21,0,1,0,00:34.00,00:16.00
21,03:56:36,04:02:42,04:03:55,0,13,0,06:06.00,01:13.00
22,03:57:35,04:04:49,04:05:27,0,7,0,07:14.00,00:38.00
23,03:57:46,04:05:20,04:06:15,0,3,0,07:34.00,00:55.00
24,03:58:10,0,0,04:09:16,0,0,11:06.00,0
25,03:59:03,04:05:30,04:05:57,0,7,0,06:27.00,00:27.00
26,03:59:35,0,0,04:00:15,0,0,00:40.00,0
27,04:00:38,04:06:03,04:06:31,0,3,0,05:25.00,00:28.00
28,04:01:20,04:06:51,04:07:19,0,7,1,05:31.00,00:28.00
29,04:02:49,04:07:41,04:08:54,0,11,1,04:52.00,01:13.00
30,04:08:42,04:09:16,04:09:43,0,6,0,00:34.00,00:27.00
