#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,02:58:18,03:02:15,03:03:22,0,3,0,03:57.00,01:07.00
2,02:59:35,03:04:31,03:10:16,0,74,0,04:56.00,05:45.00
3,03:02:12,03:10:16,03:11:40,0,11,0,08:04.00,01:24.00
4,03:02:12,03:11:40,03:12:10,0,11,0,09:28.00,00:30.00
5,03:04:45,03:12:10,03:13:15,0,10,0,07:25.00,01:05.00
6,03:05:50,03:13:36,03:17:13,0,35,1,07:46.00,03:37.00
7,03:07:55,0,0,03:10:40,0,0,02:45.00,0
8,03:10:40,0,0,03:11:50,0,0,01:10.00,0
9,03:12:00,03:17:50,03:19:20,0,13,0,05:50.00,01:30.00
10,03:12:50,0,0,03:13:15,0,0,00:25.00,0
11,03:13:50,03:19:20,03:21:09,0,21,1,05:30.00,01:49.00
12,03:14:11,03:21:50,03:23:13,0,9,0,07:39.00,01:23.00
13,03:16:54,03:23:13,03:25:06,0,12,0,06:19.00,01:53.00
14,03:17:05,03:25:06,03:26:46,0,15,0,08:01.00,01:40.00
15,03:18:15,03:27:05,03:28:55,0,12,0,08:50.00,01:50.00
16,03:18:32,03:28:50,03:31:51,0,43,1,10:18.00,03:01.00
