#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,03:35:20,03:41:00,03:42:01,0,4,0,05:40.00,01:01.00
2,03:36:56,03:42:08,03:42:56,0,4,0,05:12.00,00:48.00
3,03:37:43,03:43:11,03:43:55,0,3,0,05:28.00,00:44.00
4,03:38:23,03:44:25,03:44:55,0,3,1,06:02.00,00:30.00
5,03:38:53,03:45:17,03:45:54,0,2,0,06:24.00,00:37.00
6,03:39:16,03:46:02,03:46:25,0,4,1,06:46.00,00:23.00
7,03:40:09,03:47:12,03:48:04,0,5,0,07:03.00,00:52.00
8,03:40:33,03:48:10,03:48:55,0,2,0,07:37.00,00:45.00
9,03:41:26,03:49:08,03:50:28,0,4,1,07:42.00,01:20.00
10,03:41:52,03:50:26,03:51:04,0,3,1,08:34.00,00:38.00
11,03:42:21,0,0,03:43:29,0,0,01:08.00,0
12,03:43:09,03:53:42,03:53:55,0,1,1,10:33.00,00:13.00
13,03:44:05,03:53:57,03:55:05,0,10,1,09:52.00,01:08.00
14,03:44:11,03:55:31,03:56:21,0,6,1,11:20.00,00:50.00
15,03:44:22,03:56:29,03:57:31,0,5,1,12:07.00,01:02.00
16,03:45:23,03:57:32,03:58:01,0,5,1,12:09.00,00:29.00
17,03:46:20,0,0,03:48:26,0,0,02:06.00,0
18,03:47:38,0,0,03:48:19,0,0,00:41.00,0
19,03:47:47,0,0,03:48:16,0,0,00:29.00,0
20,03:49:40,03:58:12,03:58:37,0,1,0,08:32.00,00:25.00
21,03:50:01,03:58:43,03:59:01,0,4,1,08:42.00,00:18.00
22,03:51:51,03:59:13,04:00:11,0,8,0,07:22.00,00:58.00
23,03:56:08,04:00:19,04:01:42,0,5,0,04:11.00,01:23.00
24,03:56:12,04:01:49,04:04:09,0,7,0,05:37.00,02:20.00
25,03:56:38,04:04:16,04:05:00,0,4,0,07:38.00,00:44.00
26,03:57:42,04:05:14,04:06:23,0,5,0,07:32.00,01:09.00
27,03:59:30,04:08:03,04:08:36,0,7,1,08:33.00,00:33.00
28,04:00:36,04:07:35,04:07:51,0,3,1,06:59.00,00:16.00
29,04:00:47,04:09:28,04:10:01,0,2,1,08:41.00,00:33.00
30,04:03:42,0,0,04:07:26,0,0,03:44.00,0
31,04:04:59,04:10:01,04:10:56,0,3,0,05:02.00,00:55.00
