#,Arrival,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,2:56:24,2:57:42,3:00:32,0,30,1,01:18.0,02:50.0
2,2:58:53,3:01:00,3:02:40,0,8,0,02:07.0,01:40.0
3,2:59:19,3:02:45,3:03:10,0,3,0,03:26.0,00:25.0
4,2:59:34,3:03:10,3:03:40,0,1,0,03:36.0,00:30.0
5,2:59:44,3:03:40,3:04:51,0,11,1,03:56.0,01:11.0
6,3:00:12,3:04:54,3:05:37,0,4,1,04:42.0,00:43.0
7,3:00:50,3:05:52,3:06:08,0,2,0,05:02.0,00:16.0
8,3:02:27,3:06:15,3:07:25,0,8,0,03:48.0,01:10.0
9,3:03:46,3:07:42,3:09:07,0,7,1,03:56.0,01:25.0
10,3:04:39,3:09:21,3:09:37,0,2,0,04:42.0,00:16.0
11,3:05:08,3:10:30,3:12:45,0,18,0,05:22.0,02:15.0
12,3:08:51,0,0,3:09:22,0,0,00:31.0,00:00.0
13,3:10:17,3:12:48,3:16:54,0,15,1,02:31.0,04:06.0
14,3:13:15,3:17:08,3:22:06,0,48,1,03:53.0,04:58.0
15,3:13:35,0,0,3:14:07,0,0,00:32.0,00:00.0
16,3:15:00,3:22:06,3:22:21,0,2,0,07:06.0,00:15.0
17,3:17:51,3:22:30,3:23:17,0,2,0,04:39.0,00:47.0
18,3:18:07,3:23:23,3:23:50,0,6,1,05:16.0,00:27.0
19,3:18:40,3:24:38,3:24:56,0,5,0,05:58.0,00:18.0
20,3:20:12,0,0,3:22:51,0,0,02:39.0,00:00.0
21,3:20:57,3:25:20,3:32:02,0,18,0,04:23.0,06:42.0
